Time,Humidity,Tempreture 
39922,38.00,24.50
39923,38.00,24.50
39924,38.00,24.50
39925,38.00,24.50
39926,38.00,24.50
39927,38.00,24.50
39928,38.00,24.50
39929,38.00,24.50
39930,38.00,24.50
39931,38.00,24.50
39932,38.00,24.50
39933,38.00,24.50
39934,38.00,24.50
39935,38.00,24.50
39936,38.00,24.50
39937,38.00,24.50
39938,38.00,24.50
39939,38.00,24.50
39940,38.00,24.50
39941,38.00,24.50
39942,38.00,24.50
39943,38.00,24.50
39944,38.00,24.50
39945,38.00,24.50
39946,38.00,24.50
39947,38.00,24.50
39948,38.00,24.50
39949,38.00,24.50
39950,38.00,24.50
39951,38.00,24.50
39952,38.00,24.50
39953,38.00,24.50
39954,38.00,24.50
39955,38.00,24.50
39956,38.00,24.50
39957,38.00,24.50
39958,38.00,24.50
39959,38.00,24.50
39960,38.00,24.50
39961,38.00,24.50
39962,38.00,24.50
39963,38.00,24.80
39964,38.00,24.80
39965,38.00,24.80
39966,38.00,24.80
39967,38.00,24.80
39968,38.00,24.80
39969,38.00,24.80
39970,38.00,24.80
39971,38.00,24.80
39972,38.00,24.80
39973,38.00,24.80
39974,38.00,24.80
39975,38.00,24.80
39976,38.00,24.80
39977,38.00,24.80
39978,38.00,24.80
39979,38.00,24.80
39980,38.00,24.80
39981,38.00,24.80
39982,38.00,24.80
39983,38.00,24.80
39984,38.00,24.80
39985,38.00,24.80
39986,38.00,24.80
39987,38.00,24.80
39988,38.00,24.80
39989,38.00,24.80
39990,38.00,24.80
39991,38.00,24.80
39992,38.00,24.80
39993,38.00,24.80
39994,38.00,24.80
39995,38.00,24.80
39996,38.00,24.80
39997,38.00,24.80
39998,38.00,24.80
39999,38.00,24.80
40000,38.00,24.80
40001,38.00,24.80
40002,38.00,24.80
40003,38.00,24.80
40004,38.00,24.80
40005,38.00,24.80
40006,38.00,24.80
40007,38.00,24.80
40008,38.00,24.80
40009,38.00,24.80
40010,38.00,24.80
40011,38.00,24.80
40012,38.00,24.80
40013,38.00,24.80
40014,38.00,24.80
40015,38.00,24.80
40016,38.00,24.80
40017,38.00,24.80
40018,38.00,24.80
40019,38.00,24.80
40020,38.00,24.80
40021,38.00,24.80
40022,38.00,24.80
40023,38.00,24.80
40024,38.00,24.80
40025,38.00,24.80
40026,38.00,24.80
40027,38.00,24.80
40028,38.00,24.80
40029,38.00,24.80
40030,38.00,24.80
40031,38.00,24.80
40032,38.00,24.80
40033,38.00,24.80
40034,38.00,24.80
40035,38.00,24.80
40036,38.00,24.80
40037,38.00,24.80
40038,38.00,24.80
40039,38.00,24.80
40040,38.00,24.80
40041,38.00,24.80
40042,38.00,24.80
40043,38.00,24.80
40044,38.00,24.80
40045,38.00,24.80
40046,38.00,24.80
40047,38.00,24.80
40048,38.00,24.80
40049,38.00,24.80
40050,38.00,24.80
40051,38.00,24.80
40052,38.00,24.80
40053,38.00,24.80
40054,38.00,24.80
40055,38.00,24.80
40056,38.00,24.80
40057,38.00,24.80
40058,38.00,24.80
40059,38.00,24.80
40060,38.00,24.80
40061,38.00,24.80
40062,38.00,24.80
40063,38.00,24.80
40064,38.00,24.80
40065,38.00,24.80
40066,38.00,24.80
40067,38.00,24.80
40068,38.00,24.80
40069,38.00,24.80
40070,38.00,24.80
40071,38.00,24.80
40072,38.00,24.80
40073,38.00,24.80
40074,38.00,24.80
40075,38.00,24.80
40076,38.00,24.80
40077,38.00,24.80
40078,38.00,24.80
